"email","nickname","privacy_agreement","anonymous","random_number","password"
"yhr@gmail.com","하람","1","0","","yhr1234"
"lsy@gmail.com","승연","1","0","","lsy3456"
"whj@gmail.com","혁준","1","0","","whj5678"
"ldh@gmail.com","대호","1","0","","ldh1234"
"ltj@gmail.com","태진","1","0","","ltj5678"
"khi@gmail.com","해인","1","0","","khi1234"
"hcb@gmail.com","채빈","1","0","","hcb8978"
"aaa@gmail.com","aaa","1","0","","aaa1989"
"bbb@gmail.com","bbb","1","0","","bbb6789"
"ccc@gmail.com","ccc","1","0","","ccc1234"
